Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Value
2013,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,2444
2014,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,2665
2015,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,3747
2016,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,3522
2017,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,4020
2018,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,4184
2019,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,2940
2020,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,2982
2021,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,3420
2009,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,947
2010,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,1076
2011,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,1431
2012,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,1399
2013,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,1556
2014,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,1651
2015,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,1768
2016,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,1723
2017,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,1931
2018,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,1877
2019,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,1881
2020,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,1709
2021,Obim tereta (tonski kilometri),T_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,1846
2009,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,327
2010,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,387
2011,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,425
2012,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,457
2013,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,455
2014,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,428
2015,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,450
2016,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,374
2017,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,386
2018,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,372
2019,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,403
2020,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,363
2021,Obim tereta (tonski kilometri),T_KM_MIL,Željeznički,,,,,,,,,,,,,,,,,,,380
2009,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,620
2010,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,689
2011,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,1006
2012,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,942
2013,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,1101
2014,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,1223
2015,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,1318
2016,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,1341
2017,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,1545
2018,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,1505
2019,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,1477
2020,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,1346
2021,Obim tereta (tonski kilometri),T_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,1466
